,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
568,7802205.5,54.4,1.0,3,77555,39.0,92,Retail Store
569,2886141.5,20.12,1.0,6,51218,57.0,107,Small- and Mid-Sized Office
570,36378588.0,426.39,1.0,29,489182,43.0,46,Large Office
571,16246106.0,639.72,1.0,27,216571,62.0,87,Large Office
572,19036416.0,132.71,1.0,13,189175,13.0,95,Large Office
573,17074142.0,119.03,1.0,13,293803,25.0,18,Large Office
574,4585070.5,41.8,1.0,7,122356,91.0,106,Large Office
575,1968655.125,13.72,1.0,3,52298,89.0,95,Small- and Mid-Sized Office
577,37980712.0,264.78,1.0,42,1249055,95.0,35,Large Office
579,8523594.0,89.41,1.0,5,188339,15.0,28,Other
580,690529.5,9.31,1.0,2,60122,79.2,100,Other
581,4052720.0,31.43,1.0,6,95000,83.0,106,Small- and Mid-Sized Office
582,15272491.0,390.67,1.0,9,224857,79.0,45,Large Office
583,13568148.0,94.59,1.0,8,446261,96.0,18,Large Office
584,1594422.5,51.56,1.0,2,58492,52.0,77,Other
585,4353025.0,30.35,1.0,6,62370,30.0,109,Small- and Mid-Sized Office
586,2356376.75,73.58,1.0,1,73296,83.0,56,Warehouse
587,14469228.0,179.45,1.0,4,99122,71.6,72,Other
588,6345009.5,89.94,1.0,1,66133,63.4,31,Other
589,3534690.75,111.23,1.0,2,115668,58.0,64,Warehouse
590,6673138.0,46.52,1.0,1,141686,53.8,46,Other
591,6235947.0,152.28,1.0,1,93610,95.0,66,Small- and Mid-Sized Office
592,6843855.0,60.92,1.0,2,156188,67.0,43,Large Office
593,1951856.25,13.61,1.0,1,115620,11.0,50,Warehouse
594,10775646.0,75.12,1.0,5,238148,93.0,41,Large Office
595,151754.2969,1.06,1.0,1,71718,100.0,47,Other
596,4345698.0,131.64,1.0,1,55450,31.0,47,Warehouse
597,2763597.0,89.53,1.0,1,54880,32.0,37,Other
598,7305474.0,158.55,1.0,1,102500,81.0,24,Retail Store
599,8915523.0,119.92,1.0,6,361398,62.2,14,Other
600,7439009.0,195.43,1.0,1,50785,57.0,53,Other
602,11077140.0,99.14,1.0,5,303255,69.2,16,Other
603,15091579.0,455.39,1.0,1,411584,43.0,30,Other
604,1141189.75,29.16,1.0,4,73320,83.6,114,Mixed Use Property
605,9683979.0,67.51,1.0,4,242686,77.0,8,Large Office
606,5392617.5,74.45,1.0,6,95760,83.0,116,Small- and Mid-Sized Office
607,3459543.0,24.12,1.0,1,179413,57.0,70,Warehouse
608,605971.1875,4.22,0.0,1,65288,86.0,99,Warehouse
609,602245.0,4.2,1.0,1,170632,98.0,50,Warehouse
610,11410228.0,106.12,1.0,10,381511,87.0,22,Large Office
611,13631141.0,95.03,1.0,17,413264,91.0,7,Large Office
612,4865551.5,79.39,1.0,6,122400,63.0,7,Mixed Use Property
613,5453438.5,110.41,1.0,2,93803,76.8,60,Retail Store
615,3004271.0,20.94,1.0,2,123000,47.0,50,Warehouse
616,9941308.0,69.3,1.0,5,275130,70.0,13,Other
617,1052244.75,27.24,1.0,1,60448,90.0,38,Warehouse
